case_id,case_type,num_parties,priority,judge_id,judge_idx,courtroom_id,hearing_date,hearing_duration_mins
CASE00076,Family,3,Low,J003,2,CR01,2025-10-30,61
CASE00077,Labour,3,Medium,J007,6,CR01,2024-06-20,88
CASE00078,Family,3,Medium,J007,6,CR08,2025-05-08,60
CASE00079,Civil,3,Low,J003,2,CR07,2024-06-18,117
CASE00080,Civil,4,Medium,J006,5,CR01,2025-02-04,80
CASE00081,Civil,3,High,J004,3,CR08,2025-03-10,130
CASE00082,Criminal,2,High,J006,5,CR08,2024-10-31,227
CASE00083,Criminal,7,Medium,J002,1,CR01,2025-07-10,232
CASE00084,Civil,4,Low,J001,0,CR06,2024-02-29,126
CASE00085,Commercial,6,Medium,J001,0,CR08,2025-05-30,69
CASE00086,Criminal,2,Low,J006,5,CR03,2024-02-29,111
CASE00087,Criminal,2,High,J006,5,CR02,2024-07-10,216
CASE00088,Criminal,6,Medium,J002,1,CR02,2024-08-29,204
CASE00089,Criminal,6,Medium,J005,4,CR02,2025-08-07,148
CASE00090,Civil,5,Low,J003,2,CR01,2024-03-25,108
CASE00091,Constitutional,5,Medium,J006,5,CR06,2024-09-25,261
CASE00092,Land,5,Low,J001,0,CR06,2024-09-02,112
CASE00093,Land,3,Medium,J004,3,CR07,2024-05-15,76
CASE00094,Constitutional,4,Low,J006,5,CR08,2024-11-20,204
CASE00095,Constitutional,3,Medium,J002,1,CR01,2025-04-15,213
CASE00096,Criminal,6,Medium,J006,5,CR02,2024-08-07,141
CASE00097,Constitutional,3,High,J006,5,CR03,2024-12-24,234
CASE00098,Commercial,4,Medium,J001,0,CR04,2025-01-14,55
CASE00099,Constitutional,6,Medium,J006,5,CR03,2025-03-25,227
CASE00100,Criminal,4,Medium,J006,5,CR05,2025-09-19,187
CASE00101,Labour,3,Medium,J007,6,CR01,2025-07-22,101
CASE00102,Constitutional,2,Medium,J006,5,CR02,2024-04-29,93
CASE00103,Commercial,4,Medium,J001,0,CR03,2024-10-16,200
CASE00104,Criminal,2,Low,J006,5,CR04,2024-12-18,136
CASE00105,Civil,4,Low,J003,2,CR05,2025-06-02,82
CASE00106,Land,4,Low,J004,3,CR05,2024-02-23,84
CASE00107,Criminal,6,High,J002,1,CR07,2024-10-11,121
CASE00108,Commercial,8,Low,J001,0,CR01,2024-05-14,80
CASE00109,Commercial,6,High,J007,6,CR05,2025-12-24,126
CASE00110,Family,2,Medium,J007,6,CR01,2024-04-25,74
CASE00111,Family,2,Medium,J003,2,CR03,2024-02-07,85
CASE00112,Family,2,High,J007,6,CR03,2025-03-17,70
CASE00113,Criminal,2,Medium,J002,1,CR01,2024-11-12,180
CASE00114,Civil,4,High,J004,3,CR01,2025-01-02,147
CASE00115,Family,3,Low,J003,2,CR04,2025-11-14,52
CASE00116,Commercial,4,Medium,J001,0,CR06,2025-07-28,127
CASE00117,Civil,3,Medium,J006,5,CR03,2024-07-01,88
CASE00118,Criminal,5,High,J005,4,CR01,2024-07-03,187
CASE00119,Commercial,8,Low,J007,6,CR06,2025-02-26,162
CASE00120,Labour,2,Medium,J007,6,CR04,2024-10-01,127
CASE00121,Civil,2,Medium,J003,2,CR02,2025-01-27,97
CASE00122,Labour,4,High,J003,2,CR08,2024-08-16,137
CASE00123,Commercial,8,High,J001,0,CR08,2024-12-25,265
CASE00124,Criminal,7,Medium,J005,4,CR04,2024-01-26,233
CASE00125,Criminal,4,Medium,J006,5,CR04,2025-02-13,152
CASE00126,Family,3,Medium,J007,6,CR05,2024-03-13,102
CASE00127,Family,3,Medium,J007,6,CR06,2025-06-06,57
CASE00128,Labour,3,Low,J005,4,CR06,2024-01-30,82
CASE00129,Civil,2,Medium,J001,0,CR05,2024-07-02,112
CASE00130,Civil,2,Low,J008,7,CR05,2024-04-22,111
CASE00131,Land,2,Medium,J008,7,CR07,2024-12-20,63
CASE00132,Land,2,Low,J008,7,CR06,2024-04-29,156
CASE00133,Civil,3,Medium,J006,5,CR04,2024-09-18,106
CASE00134,Criminal,4,Low,J002,1,CR07,2024-01-03,85
CASE00135,Family,2,High,J008,7,CR04,2025-01-08,40
CASE00136,Civil,2,Low,J006,5,CR02,2025-11-12,69
CASE00137,Family,2,Medium,J007,6,CR06,2025-11-11,112
CASE00138,Land,2,Low,J001,0,CR05,2025-06-04,108
CASE00139,Civil,2,Medium,J004,3,CR07,2025-02-17,98
CASE00140,Civil,5,Medium,J004,3,CR03,2024-07-16,120
CASE00141,Civil,4,Medium,J006,5,CR07,2025-11-25,108
CASE00142,Commercial,5,Medium,J007,6,CR03,2025-09-23,242
CASE00143,Constitutional,10,Low,J006,5,CR07,2025-07-16,179
CASE00144,Criminal,7,Low,J002,1,CR05,2024-10-21,299
CASE00145,Commercial,7,Medium,J001,0,CR07,2024-11-26,160
CASE00146,Family,2,Medium,J007,6,CR08,2024-08-07,76
CASE00147,Criminal,5,Low,J006,5,CR08,2025-11-06,37
CASE00148,Land,3,Medium,J001,0,CR05,2025-06-12,184
CASE00149,Constitutional,5,Low,J006,5,CR02,2024-08-29,279
CASE00150,Commercial,6,High,J007,6,CR05,2024-08-19,159
CASE00151,Labour,2,Medium,J003,2,CR03,2025-05-02,95
CASE00152,Criminal,4,Medium,J006,5,CR02,2025-10-07,79
CASE00153,Civil,5,Medium,J008,7,CR04,2025-12-15,78
CASE00154,Constitutional,3,Medium,J006,5,CR08,2025-02-14,326
CASE00155,Family,2,Medium,J003,2,CR03,2025-11-03,61
CASE00156,Civil,2,High,J001,0,CR02,2025-03-12,81
CASE00157,Family,3,Medium,J003,2,CR03,2025-04-21,78
CASE00158,Commercial,2,High,J001,0,CR04,2024-05-17,31
CASE00159,Criminal,7,Medium,J005,4,CR06,2025-03-13,148
CASE00160,Civil,5,Low,J008,7,CR08,2024-06-12,62
CASE00161,Commercial,8,High,J007,6,CR08,2024-09-23,225
CASE00162,Civil,3,Low,J003,2,CR05,2025-06-18,89
CASE00163,Criminal,7,Medium,J005,4,CR04,2024-10-09,227
CASE00164,Commercial,3,High,J004,3,CR02,2024-08-29,179
CASE00165,Criminal,2,Medium,J005,4,CR06,2025-07-08,107
CASE00166,Family,3,Low,J003,2,CR03,2024-06-04,82
CASE00167,Criminal,2,High,J002,1,CR07,2025-12-12,150
CASE00168,Criminal,3,Medium,J002,1,CR04,2024-03-07,34
CASE00169,Civil,3,Medium,J006,5,CR07,2024-12-05,162
CASE00170,Family,2,Medium,J008,7,CR08,2024-03-05,109
CASE00171,Criminal,3,Medium,J002,1,CR07,2025-02-03,153
CASE00172,Criminal,6,Low,J006,5,CR01,2025-08-13,60
CASE00173,Civil,4,High,J006,5,CR08,2024-01-08,159
CASE00174,Civil,5,Low,J004,3,CR05,2025-02-04,91
CASE00175,Land,4,High,J004,3,CR04,2025-05-15,168
CASE00176,Civil,3,Low,J003,2,CR05,2025-05-13,92
CASE00177,Civil,2,Medium,J001,0,CR07,2024-12-11,103
CASE00178,Criminal,6,Low,J006,5,CR07,2024-06-19,250
CASE00179,Civil,4,Medium,J006,5,CR03,2025-09-30,121
CASE00180,Family,3,Medium,J008,7,CR01,2025-08-01,56
CASE00181,Criminal,4,Medium,J006,5,CR01,2024-03-27,147
CASE00182,Family,3,Medium,J008,7,CR07,2025-04-18,89
CASE00183,Civil,5,High,J003,2,CR01,2024-09-24,142
CASE00184,Civil,2,High,J006,5,CR06,2024-08-05,74
CASE00185,Commercial,9,Medium,J004,3,CR06,2024-12-12,227
CASE00186,Civil,5,Low,J006,5,CR05,2024-09-16,106
CASE00187,Labour,4,High,J003,2,CR08,2025-07-07,106
CASE00188,Family,3,Low,J003,2,CR06,2025-10-28,65
CASE00189,Constitutional,4,Low,J002,1,CR01,2024-02-02,217
CASE00190,Commercial,5,Medium,J001,0,CR04,2024-01-22,121
CASE00191,Criminal,3,Medium,J006,5,CR03,2024-09-02,140
CASE00192,Criminal,7,Medium,J002,1,CR08,2025-11-17,254
CASE00193,Family,2,Medium,J003,2,CR04,2025-04-22,83
CASE00194,Criminal,4,Medium,J006,5,CR05,2025-01-13,146
CASE00195,Family,2,Medium,J003,2,CR02,2024-06-17,38
CASE00196,Civil,2,Low,J004,3,CR02,2025-08-13,116
CASE00197,Criminal,4,Medium,J006,5,CR07,2025-02-11,130
CASE00198,Criminal,2,Medium,J006,5,CR04,2024-03-19,172
CASE00199,Civil,3,Medium,J008,7,CR04,2024-04-15,148
CASE00200,Civil,4,Medium,J004,3,CR02,2024-02-13,99
CASE00201,Constitutional,9,High,J006,5,CR07,2025-01-15,480
CASE00202,Criminal,6,Medium,J002,1,CR06,2025-03-07,179
CASE00203,Commercial,4,Medium,J004,3,CR02,2025-03-20,219
CASE00204,Family,3,Low,J007,6,CR08,2025-12-26,81
CASE00205,Land,5,Medium,J001,0,CR07,2025-06-19,55
CASE00206,Family,3,Low,J008,7,CR05,2025-09-23,55
CASE00207,Family,2,Medium,J008,7,CR08,2025-04-22,91
CASE00208,Civil,2,Low,J006,5,CR05,2024-11-27,127
CASE00209,Land,3,Medium,J001,0,CR02,2025-04-07,91
CASE00210,Civil,3,High,J003,2,CR08,2025-08-07,158
CASE00211,Land,4,Low,J008,7,CR07,2024-12-11,93
CASE00212,Civil,4,High,J001,0,CR08,2024-11-29,98
CASE00213,Land,4,Low,J001,0,CR08,2024-08-06,122
CASE00214,Criminal,3,Medium,J005,4,CR05,2024-10-14,77
CASE00215,Commercial,2,High,J007,6,CR05,2025-07-24,138
CASE00216,Constitutional,8,Low,J002,1,CR04,2024-03-29,141
CASE00217,Criminal,2,Medium,J002,1,CR07,2025-05-16,125
CASE00218,Land,2,Medium,J008,7,CR04,2025-12-09,112
CASE00219,Criminal,2,Medium,J005,4,CR08,2025-04-04,209
CASE00220,Family,2,High,J003,2,CR02,2024-10-29,33
CASE00221,Family,2,Low,J003,2,CR07,2025-12-10,61
CASE00222,Civil,2,Low,J003,2,CR05,2025-11-11,55
CASE00223,Criminal,7,Medium,J006,5,CR06,2025-04-30,123
CASE00224,Land,2,Medium,J008,7,CR06,2025-03-12,133
CASE00225,Family,3,Medium,J008,7,CR06,2024-12-27,58
CASE00226,Commercial,3,Medium,J007,6,CR08,2024-07-17,138
CASE00227,Family,3,Medium,J007,6,CR02,2025-07-03,46
CASE00228,Civil,4,Low,J003,2,CR04,2024-10-11,96
CASE00229,Commercial,4,Medium,J007,6,CR05,2024-07-18,84
CASE00230,Civil,3,High,J004,3,CR04,2024-07-03,174
CASE00231,Constitutional,10,Medium,J006,5,CR01,2025-07-01,186
CASE00232,Commercial,7,High,J001,0,CR05,2024-02-26,128
CASE00233,Criminal,4,Medium,J006,5,CR05,2025-12-16,87
CASE00234,Civil,3,Medium,J003,2,CR08,2024-04-16,119
CASE00235,Family,3,Low,J003,2,CR05,2025-05-06,107
CASE00236,Civil,5,Medium,J006,5,CR06,2024-07-08,70
CASE00237,Civil,2,Medium,J001,0,CR05,2025-05-05,104
CASE00238,Criminal,6,Low,J002,1,CR02,2025-05-19,81
CASE00239,Criminal,3,Medium,J002,1,CR01,2024-06-05,135
CASE00240,Constitutional,10,Medium,J002,1,CR05,2024-03-29,239
CASE00241,Criminal,5,Medium,J002,1,CR02,2025-03-03,173
CASE00242,Labour,2,Medium,J007,6,CR04,2025-06-20,57
CASE00243,Criminal,2,Medium,J005,4,CR08,2024-11-01,268
CASE00244,Civil,4,High,J008,7,CR07,2025-08-06,140
CASE00245,Criminal,6,High,J006,5,CR01,2025-09-17,154
CASE00246,Civil,2,Low,J001,0,CR04,2025-10-03,64
CASE00247,Constitutional,3,Medium,J002,1,CR05,2024-03-25,350
CASE00248,Constitutional,11,Medium,J002,1,CR04,2024-06-27,317
CASE00249,Civil,4,Medium,J008,7,CR02,2024-06-10,108
CASE00250,Family,2,Medium,J003,2,CR07,2025-04-07,99
CASE00251,Family,2,Low,J008,7,CR08,2024-08-26,76
CASE00252,Civil,4,High,J004,3,CR05,2025-04-10,29
CASE00253,Civil,4,High,J001,0,CR04,2025-10-03,93
CASE00254,Criminal,2,Medium,J006,5,CR04,2025-03-12,72
CASE00255,Commercial,7,Medium,J001,0,CR04,2024-09-30,257
CASE00256,Land,2,Medium,J001,0,CR02,2024-06-19,99
CASE00257,Civil,4,Medium,J004,3,CR05,2025-03-26,82
CASE00258,Criminal,3,Medium,J002,1,CR08,2024-11-08,161
CASE00259,Family,2,Medium,J008,7,CR07,2025-05-28,79
CASE00260,Criminal,3,Medium,J006,5,CR08,2025-03-25,135
CASE00261,Criminal,3,High,J002,1,CR01,2025-03-19,218
CASE00262,Civil,4,Medium,J004,3,CR05,2024-04-04,131
CASE00263,Criminal,2,Low,J002,1,CR01,2025-11-20,69
CASE00264,Family,3,Low,J007,6,CR01,2025-06-16,64
CASE00265,Family,2,Low,J008,7,CR08,2024-07-05,86
CASE00266,Civil,4,Medium,J008,7,CR07,2025-10-13,115
CASE00267,Commercial,3,High,J004,3,CR02,2024-12-23,197
CASE00268,Civil,2,Medium,J006,5,CR06,2024-11-25,99
CASE00269,Civil,4,High,J001,0,CR03,2024-12-04,114
CASE00270,Constitutional,3,Low,J006,5,CR08,2024-10-23,229
CASE00271,Family,3,Medium,J008,7,CR07,2025-07-18,41
CASE00272,Civil,2,High,J001,0,CR08,2024-04-01,126
CASE00273,Family,2,Medium,J007,6,CR05,2024-11-28,70
CASE00274,Family,2,Low,J003,2,CR07,2025-06-11,57
CASE00275,Commercial,6,Medium,J001,0,CR08,2025-02-28,77
CASE00276,Civil,3,Low,J001,0,CR04,2025-01-06,104
CASE00277,Civil,3,High,J008,7,CR08,2025-10-03,94
CASE00278,Criminal,5,Medium,J005,4,CR01,2024-10-01,247
CASE00279,Labour,2,Low,J007,6,CR03,2024-10-22,83
CASE00280,Commercial,6,High,J004,3,CR08,2024-01-31,46
CASE00281,Criminal,5,Medium,J006,5,CR04,2024-06-12,203
CASE00282,Civil,4,Low,J004,3,CR01,2024-08-19,136
CASE00283,Criminal,5,Medium,J002,1,CR08,2024-05-01,222
CASE00284,Land,2,Medium,J008,7,CR03,2025-05-26,102
CASE00285,Labour,4,Medium,J007,6,CR05,2025-06-06,123
CASE00286,Civil,3,Low,J004,3,CR07,2025-04-29,78
CASE00287,Civil,3,High,J003,2,CR08,2024-05-29,129
CASE00288,Family,2,Medium,J007,6,CR04,2025-06-05,87
CASE00289,Land,2,Low,J008,7,CR03,2024-03-13,102
CASE00290,Criminal,4,Low,J005,4,CR07,2025-06-04,53
CASE00291,Constitutional,9,Medium,J006,5,CR01,2024-10-17,51
CASE00292,Civil,4,Medium,J004,3,CR08,2025-04-03,72
CASE00293,Land,2,Low,J008,7,CR08,2024-12-20,114
CASE00294,Commercial,5,Medium,J004,3,CR07,2024-11-26,131
CASE00295,Criminal,6,Medium,J002,1,CR04,2025-01-28,170
CASE00296,Labour,2,High,J003,2,CR07,2024-02-15,77
CASE00297,Labour,2,High,J005,4,CR08,2025-12-24,179
CASE00298,Constitutional,3,Medium,J006,5,CR07,2025-11-11,167
CASE00299,Family,2,Low,J008,7,CR03,2025-05-23,72
CASE00300,Commercial,4,Low,J001,0,CR03,2025-05-30,137
CASE00301,Civil,2,Medium,J008,7,CR06,2025-03-27,127
CASE00302,Family,2,Low,J003,2,CR08,2024-01-17,93
CASE00303,Land,2,Low,J008,7,CR03,2025-02-24,87
CASE00304,Commercial,5,High,J007,6,CR03,2024-03-18,115
CASE00305,Family,3,Low,J007,6,CR05,2024-12-13,73
CASE00306,Family,3,Medium,J008,7,CR07,2025-10-28,78
CASE00307,Civil,5,Low,J001,0,CR06,2025-07-01,101
CASE00308,Family,2,Low,J007,6,CR06,2025-05-15,58
CASE00309,Criminal,6,High,J006,5,CR01,2025-09-25,161
CASE00310,Criminal,7,Medium,J002,1,CR04,2025-10-09,184
CASE00311,Commercial,7,Medium,J007,6,CR05,2024-08-21,124
CASE00312,Constitutional,5,Low,J002,1,CR07,2024-04-11,204
CASE00313,Family,3,Medium,J008,7,CR02,2025-03-31,73
CASE00314,Commercial,3,Medium,J001,0,CR05,2024-01-31,39
CASE00315,Civil,5,Medium,J001,0,CR06,2024-02-28,56
CASE00316,Civil,2,Low,J004,3,CR06,2025-03-18,26
CASE00317,Criminal,7,Low,J002,1,CR04,2025-02-26,127
CASE00318,Constitutional,9,Low,J002,1,CR03,2024-03-22,190
CASE00319,Criminal,6,Low,J006,5,CR07,2025-12-01,83
CASE00320,Civil,2,Low,J003,2,CR08,2025-08-21,130
CASE00321,Criminal,3,Medium,J002,1,CR04,2025-04-18,83
CASE00322,Constitutional,9,Medium,J006,5,CR08,2024-09-19,364
CASE00323,Civil,2,Medium,J001,0,CR08,2024-10-22,116
CASE00324,Constitutional,4,Low,J002,1,CR02,2024-12-20,239
CASE00325,Commercial,9,Medium,J007,6,CR05,2025-10-17,168
CASE00326,Commercial,7,Medium,J004,3,CR05,2024-11-06,186
CASE00327,Family,3,Medium,J003,2,CR07,2025-01-03,42
CASE00328,Criminal,7,High,J006,5,CR05,2025-12-18,175
CASE00329,Criminal,4,Medium,J005,4,CR01,2025-11-06,273
CASE00330,Criminal,7,Low,J005,4,CR05,2024-01-10,133
CASE00331,Criminal,2,Medium,J006,5,CR01,2024-10-21,201
CASE00332,Civil,3,High,J003,2,CR06,2024-08-13,142
CASE00333,Civil,3,Medium,J003,2,CR05,2025-11-26,79
CASE00334,Commercial,2,Low,J007,6,CR03,2025-10-06,70
CASE00335,Family,2,High,J003,2,CR01,2024-11-13,46
CASE00336,Labour,3,Medium,J005,4,CR01,2025-01-09,55
CASE00337,Commercial,8,Medium,J007,6,CR03,2024-04-03,172
CASE00338,Civil,2,Low,J004,3,CR06,2024-07-25,89
CASE00339,Land,5,High,J001,0,CR06,2025-05-29,154
CASE00340,Land,5,Medium,J004,3,CR03,2025-05-09,113
CASE00341,Criminal,4,Low,J005,4,CR06,2025-04-25,149
CASE00342,Constitutional,4,Medium,J002,1,CR03,2024-08-20,282
CASE00343,Civil,3,High,J006,5,CR06,2024-04-03,89
CASE00344,Constitutional,8,Medium,J006,5,CR01,2025-07-04,196
CASE00345,Criminal,6,Medium,J002,1,CR08,2025-01-13,206
CASE00346,Criminal,3,Medium,J006,5,CR05,2025-08-22,218
CASE00347,Commercial,9,Medium,J004,3,CR06,2024-08-28,159
CASE00348,Civil,2,Medium,J006,5,CR01,2025-07-29,98
CASE00349,Criminal,5,Medium,J005,4,CR04,2024-03-06,231
CASE00350,Family,3,Medium,J008,7,CR08,2025-12-19,70
CASE00351,Labour,2,High,J005,4,CR07,2024-04-30,181
CASE00352,Civil,5,Medium,J003,2,CR01,2024-02-09,117
CASE00353,Constitutional,7,Low,J006,5,CR08,2024-04-29,142
CASE00354,Criminal,6,Medium,J002,1,CR04,2025-04-10,84
CASE00355,Commercial,9,High,J004,3,CR07,2025-08-25,284
CASE00356,Family,3,Medium,J008,7,CR03,2024-04-12,37
CASE00357,Civil,2,Low,J006,5,CR07,2024-10-14,61
CASE00358,Criminal,2,Medium,J002,1,CR06,2025-03-31,142
CASE00359,Commercial,2,High,J004,3,CR04,2025-01-07,168
CASE00360,Civil,4,Medium,J001,0,CR06,2025-10-23,97
CASE00361,Family,3,Medium,J007,6,CR01,2025-02-12,76
CASE00362,Civil,3,High,J004,3,CR04,2024-05-06,129
CASE00363,Criminal,5,Medium,J005,4,CR02,2025-11-10,147
CASE00364,Civil,2,Medium,J003,2,CR01,2024-02-22,132
CASE00365,Civil,5,Medium,J004,3,CR04,2024-05-09,93
CASE00366,Constitutional,7,Low,J002,1,CR02,2025-07-22,357
CASE00367,Civil,3,High,J003,2,CR04,2024-08-27,68
CASE00368,Civil,2,High,J004,3,CR03,2025-09-03,130
CASE00369,Family,3,High,J003,2,CR05,2024-05-29,74
CASE00370,Commercial,2,High,J001,0,CR05,2024-06-28,22
CASE00371,Family,2,Low,J003,2,CR01,2024-05-15,70
CASE00372,Criminal,7,Medium,J002,1,CR06,2025-08-26,66
CASE00373,Criminal,3,Medium,J005,4,CR01,2024-06-28,112
CASE00374,Civil,2,Medium,J004,3,CR01,2024-05-10,110
CASE00375,Criminal,7,Low,J006,5,CR07,2025-06-23,201
CASE00376,Labour,3,Medium,J003,2,CR02,2025-01-06,52
CASE00377,Criminal,2,Medium,J006,5,CR02,2025-04-08,210
CASE00378,Civil,2,Medium,J008,7,CR04,2025-09-22,130
CASE00379,Commercial,7,Medium,J001,0,CR05,2025-04-15,201
CASE00380,Commercial,2,Medium,J007,6,CR01,2024-03-04,118
CASE00381,Civil,3,Medium,J006,5,CR07,2025-03-13,134
CASE00382,Commercial,2,Low,J007,6,CR02,2025-12-31,67
CASE00383,Criminal,2,Low,J005,4,CR02,2024-11-26,140
CASE00384,Civil,5,Medium,J008,7,CR03,2024-05-10,69
CASE00385,Family,2,Medium,J007,6,CR06,2025-09-04,50
CASE00386,Civil,5,Medium,J008,7,CR05,2025-04-10,33
CASE00387,Civil,5,Medium,J008,7,CR07,2024-04-12,139
CASE00388,Criminal,3,Medium,J006,5,CR02,2025-10-29,241
CASE00389,Land,5,Low,J008,7,CR04,2025-03-17,60
CASE00390,Family,2,Medium,J007,6,CR04,2025-02-28,33
CASE00391,Criminal,7,Medium,J005,4,CR08,2025-02-13,156
CASE00392,Land,2,High,J004,3,CR02,2025-03-14,142
CASE00393,Criminal,7,High,J005,4,CR05,2024-06-06,75
CASE00394,Criminal,5,Medium,J006,5,CR08,2024-04-04,157
CASE00395,Family,3,Medium,J003,2,CR02,2025-03-19,58
CASE00396,Labour,3,Low,J003,2,CR06,2024-05-14,119
CASE00397,Civil,3,Medium,J008,7,CR01,2025-07-30,81
CASE00398,Criminal,6,Low,J006,5,CR06,2025-11-18,179
CASE00399,Civil,5,Low,J001,0,CR07,2025-11-13,107
CASE00400,Civil,3,High,J006,5,CR01,2024-10-22,31
CASE00401,Constitutional,10,Low,J006,5,CR06,2024-04-17,268
CASE00402,Civil,3,Medium,J008,7,CR04,2025-11-04,133
CASE00403,Land,3,Medium,J004,3,CR04,2024-12-25,82
CASE00404,Commercial,8,Low,J007,6,CR06,2025-08-11,87
CASE00405,Commercial,5,High,J001,0,CR07,2025-07-29,149
CASE00406,Civil,5,Medium,J008,7,CR01,2025-09-16,66
CASE00407,Constitutional,2,Medium,J006,5,CR01,2024-07-04,161
CASE00408,Civil,4,Medium,J004,3,CR05,2024-12-26,70
CASE00409,Civil,2,Medium,J001,0,CR03,2024-05-27,115
CASE00410,Commercial,6,Medium,J007,6,CR07,2024-03-13,67
CASE00411,Commercial,8,Medium,J001,0,CR01,2024-04-04,208
CASE00412,Family,3,Medium,J008,7,CR04,2025-01-21,63
